"x","y","mmi","mmi_class"
842524.867666719,1168653.67810696,29.58,"Poor"
850717.320736525,1192050.50918418,22.75,"Poor"
840644.806548795,995227.718635113,34.25,"Poor"
887177.119246979,1245959.91504079,49.65,"Good"
893620.171885748,1147963.5138704,24.4,"Poor"
755733.242975685,1258108.83834981,25.68,"Poor"
939822.28281573,1240937.0164801,39.48,"Fair"
817402.982335959,1181378.76290653,35.5,"Fair"
941963.581341142,1346552.59086934,27.72,"Poor"
810166.855541261,1359521.858199,13.65,"Poor"
969611.772825722,1185934.29209851,47.65,"Good"
958995.059769447,1097864.77330171,80.53,"Good"
846989.108093598,929898.540503784,76.57,"Good"
747692.405122112,1325114.61779829,35.87,"Fair"
894259.703534117,1141124.06269024,28.28,"Poor"
786170.599769759,1128724.53553163,22.4,"Poor"
853029.719546832,1190917.73847628,54.8,"Good"
983240.190908495,972522.325418873,69.98,"Good"
749474.591995173,988320.137643375,46.08,"Fair"
842499.477267551,1049383.61051023,63.62,"Good"
847600.148837417,1256721.75206908,30.82,"Fair"
1029648.13336136,1099912.45534631,32.78,"Poor"
768087.045274727,935332.309134171,40.6,"Poor"
794410.69606307,1041055.64194488,22.25,"Poor"
808783.508380734,1354638.58476547,3.7,"Poor"
966024.190170299,1226418.90201711,43.68,"Fair"
962149.729556201,1028939.72013212,37.4,"Poor"
830146.159070248,1160175.83799675,59.12,"Good"
723343.728309478,1301965.84806316,69.08,"Good"
905733.382802472,1238822.85861443,3.83,"Poor"
720095.981140539,942660.532436934,20.48,"Poor"
785562.628634771,1165570.79836579,18.35,"Poor"
752135.724139158,1230803.04067187,45.82,"Fair"
989478.121568903,1157303.81966157,24.15,"Poor"
816546.879020758,1137827.36766725,55.37,"Good"
851907.605095645,1053247.51205229,52.37,"Fair"
494823.815447343,1465552.37575379,48.4,"Fair"
378893.403573909,1336121.50469625,11.67,"Poor"
281719.799631658,1470831.42109828,54.05,"Good"
165002.848878559,1273178.57447113,35.38,"Fair"
421167.273927199,1473667.81705587,64.78,"Good"
216939.790313488,1327980.28318424,68.12,"Good"
330001.739323412,1269022.56159964,29.28,"Poor"
230428.090047344,1204756.7074718,33.9,"Poor"
549133.822430649,1414549.58977241,31.63,"Poor"
446574.862723306,1265905.36922264,15.12,"Poor"
349240.537034965,1182300.84469782,15.03,"Poor"
486304.267626439,1306383.86200429,20.18,"Poor"
202377.846742621,1405105.20692553,61.87,"Good"
366669.657400037,1173078.4031241,31.48,"Poor"
239093.583646648,1322163.86467587,0,"Poor"
234305.631106886,1225381.0097093,57.12,"Good"
474385.090368372,1317641.53331682,17.92,"Poor"
197171.014145173,1174407.60675393,44.87,"Fair"
364334.414247129,1473292.72063075,29.82,"Poor"
499322.255260647,1401016.64735094,22.12,"Poor"
421332.51103435,1375964.5507307,6.25,"Poor"
440514.660496562,1274718.26329039,20.33,"Poor"
285861.941253986,1259390.22128456,40.25,"Poor"
